file_urls,type,model,model_2,product,thumb,url,source,brand,product_lang
https://www.bequiet.com/admin/ImageServer.php?ID=ad2f5a43939@be-quiet.net&rand=8bf50818037853af8b04ec5608168ba0&lang=2&force=true&download=true&omitPreview=true,Datový list,PURE LOOP 2 FX,Pure Loop 2 FX,Vodní chlazení,https://www.bequiet.com/admin/ImageServer.php?ID=87b95a43982@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/cz/watercooler/3745,bequiet.com,Be Quiet!,cz
https://www.bequiet.com/admin/ImageServer.php?ID=ec194a43956@be-quiet.net&rand=cc13653451640395609fecc5e10a4682&lang=2&force=true&download=true&omitPreview=true,Manuál,PURE LOOP 2 FX,Pure Loop 2 FX,Vodní chlazení,https://www.bequiet.com/admin/ImageServer.php?ID=87b95a43982@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/cz/watercooler/3745,bequiet.com,Be Quiet!,cz
https://www.bequiet.com/admin/ImageServer.php?ID=2e360a43938@be-quiet.net&rand=ccafeeaca7a900d7b0c74172134e3159&lang=2&force=true&download=true&omitPreview=true,Hoja de datos,PURE LOOP 2 FX,Pure Loop 2 FX,Refrigeradores con agua,https://www.bequiet.com/admin/ImageServer.php?ID=87b95a43982@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/es/watercooler/3745,bequiet.com,Be Quiet!,es
https://www.bequiet.com/admin/ImageServer.php?ID=b4732a43955@be-quiet.net&rand=cc76381262cd3b59553e7e5fa8fdedf0&lang=2&force=true&download=true&omitPreview=true,Manual,PURE LOOP 2 FX,Pure Loop 2 FX,Refrigeradores con agua,https://www.bequiet.com/admin/ImageServer.php?ID=87b95a43982@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/es/watercooler/3745,bequiet.com,Be Quiet!,es
https://www.bequiet.com/admin/ImageServer.php?ID=dbdb7a43935@be-quiet.net&rand=5e3654e9bfe236841fe152734c1e5743&lang=2&force=true&download=true&omitPreview=true,規格表,PURE LOOP 2 FX,Pure Loop 2 FX,水冷系統,https://www.bequiet.com/admin/ImageServer.php?ID=87b95a43982@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/tw/watercooler/3745,bequiet.com,Be Quiet!,tw
https://www.bequiet.com/admin/ImageServer.php?ID=d809aa43950@be-quiet.net&rand=5fe788a77140202f2dd1cd11bf705c9b&lang=2&force=true&download=true&omitPreview=true,說明書,PURE LOOP 2 FX,Pure Loop 2 FX,水冷系統,https://www.bequiet.com/admin/ImageServer.php?ID=87b95a43982@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/tw/watercooler/3745,bequiet.com,Be Quiet!,tw
https://www.bequiet.com/admin/ImageServer.php?ID=19830a38927@be-quiet.net&rand=281e3fb727bebb0bf65415e6c0153821&lang=2&force=true&download=true&omitPreview=true,Технічні специфікації,M.2 SSD COOLER,MC1,Аксесуари,https://www.bequiet.com/admin/ImageServer.php?ID=466bfa36935@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/ua/accessories/2251,bequiet.com,Be Quiet!,ua
https://www.bequiet.com/admin/ImageServer.php?ID=cf1eca36932@be-quiet.net&rand=add69ee9d0c04fad6805f6be63461e4a&lang=2&force=true&download=true&omitPreview=true,Інструкція користувача,M.2 SSD COOLER,MC1,Аксесуари,https://www.bequiet.com/admin/ImageServer.php?ID=466bfa36935@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/ua/accessories/2251,bequiet.com,Be Quiet!,ua
https://www.bequiet.com/admin/ImageServer.php?ID=26709a22823@be-quiet.net&rand=1470ae48b875303f3c2190b730e6b82f&lang=2&force=true&download=true&omitPreview=true,Технічні специфікації,SHADOW WINGS 2,SHADOW WINGS 2 120mm PWM White,Вентилятори,https://www.bequiet.com/admin/ImageServer.php?ID=b5fc1a27771@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/ua/casefans/1700,bequiet.com,Be Quiet!,ua
https://www.bequiet.com/admin/ImageServer.php?ID=a8b60a38016@be-quiet.net&rand=a24e60863cdcc946b7ecaa4c8f319bc7&lang=2&force=true&download=true&omitPreview=true,Інструкція користувача,SHADOW WINGS 2,SHADOW WINGS 2 120mm PWM White,Вентилятори,https://www.bequiet.com/admin/ImageServer.php?ID=b5fc1a27771@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/ua/casefans/1700,bequiet.com,Be Quiet!,ua
https://www.bequiet.com/admin/ImageServer.php?ID=92f16a38015@be-quiet.net&rand=40c76e07a2ad6d4daa0337636b2a2c4e&lang=2&force=true&download=true&omitPreview=true,Інструкція користувача,SHADOW WINGS 2,SHADOW WINGS 2 140mm PWM,Вентилятори,https://www.bequiet.com/admin/ImageServer.php?ID=82a8aa28076@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/ua/casefans/1625,bequiet.com,Be Quiet!,ua
https://www.bequiet.com/admin/ImageServer.php?ID=fbc82a36953@be-quiet.net&rand=14753aa33ff874ce200c1234c439b722&lang=2&force=true&download=true&omitPreview=true,Технічні специфікації,M.2 SSD COOLER,MC1 PRO,Аксесуари,https://www.bequiet.com/admin/ImageServer.php?ID=d85b6a36948@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/ua/accessories/2252,bequiet.com,Be Quiet!,ua
https://www.bequiet.com/admin/ImageServer.php?ID=34740a42833@be-quiet.net&rand=f354db7ff30bec15f334fafb49f4625b&lang=2&force=true&download=true&omitPreview=true,Технічні специфікації,SILENT WINGS 4,SILENT WINGS 4 140mm,Вентилятори,https://www.bequiet.com/admin/ImageServer.php?ID=a7f09a42876@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/ua/casefans/3702,bequiet.com,Be Quiet!,ua
https://www.bequiet.com/admin/ImageServer.php?ID=62443a42579@be-quiet.net&rand=a53a6baba3ff20677b66eaad6523fab0&lang=2&force=true&download=true&omitPreview=true,Інструкція користувача,SILENT WINGS 4,SILENT WINGS 4 140mm,Вентилятори,https://www.bequiet.com/admin/ImageServer.php?ID=a7f09a42876@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/ua/casefans/3702,bequiet.com,Be Quiet!,ua
https://www.bequiet.com/admin/ImageServer.php?ID=919e7a30356@be-quiet.net&rand=a189561b649494a46a9ecd9d5da5343c&lang=2&force=true&download=true&omitPreview=true,Технічні специфікації,PURE ROCK,PURE ROCK 2 Black,Повітряне охолодження,https://www.bequiet.com/admin/ImageServer.php?ID=6ca2da30625@be-quiet.net&omitPreview=true&width=600,https://www.bequiet.com/ua/cpucooler/1842,bequiet.com,Be Quiet!,ua
